치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립년월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관기관명,제공기관명,작업일시,시군구명
동작구치매안심센터,치매안심센터,서울특별시 동작구 남부순환로 2025,서울특별시 동작구 사당동 1049-11,37.47643044,126.9736106,2023-08,922.8,검진실+프로그램실+쉼터+상담실 등,2,8,3,행정(8),서울특별시 보라매병원,이재협,02-598-6088,2009-08-27,치매환자 상담 및 등록관리+치매조기검진+치매예방관리+치매환자쉼터운영+치매가족지원+치매인식개선및교육홍보+치매안심마을운영,02-820-9582,서울특별시 동작구보건소,2025-12-04,,,서울특별시 동작구,2026-06-14 17:58:01.0,동작구
강북구치매안심센터,치매안심센터,"서울특별시 강북구 오현로 208, 번동3단지 세대복합형 복지주택 1층",서울특별시 강북구 번동 237,37.6296739,127.0411454,2023-06,271.0,사무실+프로그램실+검진실 등,0,2,2,작업치료사(1)+행정요원(1),고려대학교의료원 안암병원,이찬녕,02-991-9832,2024-01-01,조기검진+쉼터+가족지원+인식개선 등치매검진+치매치료비+조호물품+배회인식표+가족모임+인지건강센터+기억친구 등,02-901-7768,강북구 보건소,2025-12-05,,,서울특별시 강북구,2026-06-14 17:58:01.0,강북구
서울특별시 중랑구치매안심센터,치매안심센터,"서울특별시 중랑구 봉화산로 190 ,신내2동 중랑구청 제2청사 4층,6층",서울특별시 중랑구 신내동 665,37.60626485,127.094136,2023-01,499.84,사무실(1)+강당(1)+진료실(1)+인지검사실(4)+창고(2)+프로그램실(4),1,11,3,작업치료사(7),서울북부병원,이용주,02-435-7540,2023-01-01,치매조기검진+치매예방등록관리+지역사회자원강화,02-2094-0869,서울특별시청+중랑구보건소,2025-08-11,,,서울특별시 중랑구,2026-06-14 17:58:01.0,중랑구
광진구치매안심센터,치매안심센터,서울특별시 광진구 긴고랑로110+중곡종합건강센터 3층,서울특별시 광진구 중곡동 125-11+중곡종합건강센터 3층,37.55933917,127.0870892,2023-01,328.43,사무실(1)+상담실(1)+검진실(2)+센터장실(1)+교육실(1)+인지프로그램실(1)+휴게실(2)+다용도실(1),1,9,4,작업치료사(4)+행정직(1),건국대학교병원,문연실,02-450-1381,2009-02-01,치매조기검진+맞춤형 인지프로그램 운영+사례관리+조호물품 지원+치매치료비지원+치매공공후견사업+기억키움쉼터 및 가족카페 운영,02-450-1966,서울특별시 광진구 보건소,2025-11-03,,,서울특별시 광진구,2026-06-14 17:58:01.0,광진구
성북구치매안심센터 분소,치매안심센터,서울특별시 성북구 한천로 568 장위석관지소 3층,,37.610489,127.063389,2022-12,182.8,사무실(1)+검사실(2)+프로그램실(2)+가족카페(1),1,11,3,작업치료사(6)+행정(1),건국대학교병원,전홍준,02-918-2223,2023-01-01,치매조기검진+인지카페 기억다방 운영+치매안심마을운영+기억키움학교+치매 찾동 협업 인지강화프로그램 등,02-2133-6137,서울특별시 성북구청,2025-08-05,,,서울특별시 성북구,2026-06-14 17:58:01.0,성북구
강서구치매안심센터,치매안심센터,"서울특별시 강서구 화곡로 371, 경향교회선교관 3층",,37.556963,126.8522421,2009-12,630.0,,1,10,3,운동처방사(1)+작업치료사(9)+임상심리사(1),이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943,2026-01-01,무료치매검진 및 진단+치매예방교육+치매예방인지재활프로그램+치매가족지지 프로그램+실종예방프로그램+조호물품지원 등,02-2600-5877,서울특별시 강서구청,2026-02-06,,,서울특별시 강서구,2026-06-14 17:58:01.0,강서구
서대문구치매안심센터,치매안심센터,서울특별시 서대문구 연희로 290,서울특별시 서대문구 홍은2동 425-3 한국자유총연맹,37.58292926,126.9364454,2009-12,,,1,6,5,작업치료사(6)+음악치료사(1)+간호조무사(1),서대문구 치매안심센터,김어수,02-379-0183,,경증 치매환자 대상 단기 보호(쉼터)운영+치매가족교육+온라인 치매예방 프로그램+치매가족 카페+힐링 프로그램 등,02-330-1738,서대문구보건소,2025-09-01,,,서울특별시 서대문구,2026-06-14 17:58:01.0,서대문구
노원구치매안심센터,치매안심센터,서울특별시 노원구 수락산로 212-20 마들보건지소 4~5층,서울특별시 노원구 상계1동 1035-1 마들보건지소 4~5층,37.6714558,127.055257,2009-12,518.0,기억키움학교,1,12,4,작업치료사(8),인제대학교 상계백병원 위탁,이순형,02-911-7778,2022-01-01,치매조기검진+치매예방 및 등록관리+치매치료비 지원+쉼터 및 일상생활훈련센터 운영+지역자원강화 사업 등,02-2116-4353,서울특별시 노원구청,2024-07-22,,,서울특별시 노원구,2026-06-14 17:58:01.0,노원구
용산구치매안심센터,치매안심센터,서울특별시 용산구 녹사평대로 150,서울특별시 용산구 이태원동34-87,37.5324394,126.9904783,2009-12,574.82,사무실(1)+교육실(1)+프로그램실(2)+신체계측실(1)+검진실(3)+진료실(1)+센터장실(1)+가족카페(1)+치매환자쉼터(1),1,9,3,작업치료사(6)+음악치료사(1),순천향대학교 서울병원,서교일,02-790-1541,2009-10-19,조기검진사업+치매환자등록관리사업+치매환자쉼터 운영사업+가족모임운영+교육 및 인지프로그램 운영+치매예방관리사업+홍보사업+치매파트너 양성+지역자원강화사업 등,02-2199-8082,서울특별시 용산구 보건소,2025-08-05,,,서울특별시 용산구,2026-06-14 17:58:01.0,용산구
영등포구치매안심센터,치매안심센터,서울특별시 영등포구 당산로 29길 9,서울특별시 영등포구 당산동3가 407,37.525994,126.893979,2009-12,854.21,검사실(4)+진료실(1)+프로그램실(5)+쉼터(2)+카페(1)+사무실(1)+화장실 각층(3),1,9,4,작업치료사(5)+음악치료사(1)+운동처방사(1)+행정요원(1),한림대학교 강남성심병원,정산,02-831-0855,2024-12-01,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",02-2670-4752,영등포구 보건소(건강증진과),2025-11-21,,,서울특별시 영등포구,2026-06-14 17:58:01.0,영등포구
강남구치매안심센터,치매안심센터,서울특별시 강남구 선릉로108길 27,서울특별시 강남구 삼성동 113-26,37.5103126,127.0463796,2009-12,903.24,사무실(2)+강당(1)+건강홀(1)+진료실(1)+인지검사실(1)+프로그램실(4)+서고(1)+창고(2)+세탁실(1)+샤워룸(1)+직원휴게실(1)+화장실(5),2,6,4,,삼성서울병원,서상원,02-568-4203,2010-01-01,치매선별검사+인지건강증진프로그램운영 등,02-3423-7123,서울특별시청+강남구보건소,2026-01-27,,,서울특별시 강남구,2026-06-14 17:58:01.0,강남구
서울특별시 구로구 치매안심센터,치매안심센터,"서울특별시 구로구 디지털로 243, 2층 (지-하이시티 빌딩)","서울특별시 구로구 구로동 237, 2층",37.48199097,126.892351,2009-12,530.25,검진실+가족쉼터 및 카페+프로그램실,1,11,5,작업치료사(5)+운동처방사(1)+음악치료사(1)+송영인력(1)+이동카사업전담인력(1),고려대학교 구로병원,,02-2612-7041,2024-01-01,무료치매검사+정상 고위험 치매 프로그램 및 인지프로그램 운영+치매가족프로그램 등,02-860-3273,서울특별시 구로구 보건소,2025-11-17,,,서울특별시 구로구,2026-06-14 17:58:01.0,구로구
종로구 치매안심센터,치매안심센터,서울특별시 종로구 평창문화로 50,서울특별시 종로구 평창동 235-2,37.60542184,126.9669268,2009-11,475.52,사무실(1)+가족카페(1)+기억키움학교(1)+프로그램실(1)+진료실(1)+검진실(2)+강당(1)+서고(1)+화장실(4),1,6,4,작업치료사(6)+행정(1),서울대학교병원,박지은,02-3675-9001,2024-01-01,치매예방 및 인식개선사업+치매조기검진 사업+치매예방등록관리 사업+저소득층 치매치료비 및 원인확진검사비 지원 사업+치매지역사회자원강화 사업 등,02-2148-3603,서울특별시 종로구보건소,2025-06-23,,,서울특별시 종로구,2026-06-14 17:58:01.0,종로구
강북구치매안심센터,치매안심센터,"서울특별시 강북구 삼양로 335-1, 수유보건지소 2층",서울특별시 강북구 수유동 472-31,37.63340541,127.0171111,2009-08,415.03,사무실+프로그램실+검진실+강당+주차장 등,1,2,5,작업치료사(5)+임상심리사(1),고려대학교의료원 안암병원,이찬녕,02-991-9831,2024-01-01,조기검진+쉼터+가족지원+인식개선 등치매검진+치매치료비+조호물품+배회인식표+가족모임+인지건강센터+기억친구 등,02-901-7768,강북구 보건소,2025-12-05,,,서울특별시 강북구,2026-06-14 17:58:01.0,강북구
금천구치매안심센터,치매안심센터,"서울특별시 금천구 시흥대로 123길 11(독산1동 주민센터) 6층, 7층",서울특별시 금천구 독산동 289-5,37.47021905,126.8970437,2009-08,748.1,사무실1(센터장실1)+상담실(5)+기억키움학교1+프로그램실4+휴게실1+가족카페1+화장실4,1,10,4,작업치료사4,고려대학교 구로병원,병원장 정희진,02-3281-9082,2023-01-01,예방 및 인식개선 사업+조기검진 사업+등록관리사업+치매치료관리비 지원사업+중증치매노인공공후견사업,02-2627-2142,서울특별시 금천구 보건소,2025-11-26,,,서울특별시 금천구,2026-06-14 17:58:01.0,금천구
중구 치매안심센터,치매안심센터,서울특별시 중구 퇴계로 460(신당동) 유락종합사회복지관 11층,서울특별시 중구 신당동 160-2  유락종합사회복지관,37.565091,127.022785,2009-06,53486.0,,1,8,5,작업치료사(3),국립중앙의료원,,02-2238-3400,2009-06-01,"치매선별검사+맞춤형 치매예방 프로그램+지매환자 약제비, 검사비 지원 + 가족 지원(힐링 프로그램, 자조모임, 교육)+조호물품지원+인식개선사업 등",02-3396-6473,서울특별시 중구보건소,2025-06-04,,,서울특별시 중구,2026-06-14 17:58:01.0,중구
은평구치매안심센터,치매안심센터,서울특별시 은평구 연서로34길 11,서울특별시 은평구 불광동 130-2,37.6215461,126.9276912944,2008-12,520.78,,1,9,5,"음악치료사 1,작업치료사 3,행정요원 2",가톨릭대학교 은평성모병원,임은혜,02-388-8233,2017-01-01,"치매 조기검진 및 등록관리, 치료비 지원 및 사례관리, 인지건강프로그램 운영, 치매예방 교육 및 홍보",02-351-8682,서울특별시 은평구 보건소,2025-06-24,,,서울특별시 은평구,2026-06-14 17:58:01.0,은평구
관악구치매안심센터,치매안심센터,서울특별시 관악구 관악로 145 관악구청 별관 3층,서울특별시 관악구 봉천동 1570-1 관악구청 별관 3층,37.47864563,126.9509331,2008-12,495.73,사무실(1)+검진상담실(4)+교육실(2)+프로그램실(1)+가족카페(1)+기타(난곡치매안심분소),0,8,3,작업치료사(4),서울특별시 관악구보건소,최정화,02-879-4910,,치매조기검진 및 등록관리+치매예방 및 인식개선+치매의료비 지원+인지건강프로그램 및 치매환자쉼터 운영+치매환자 가족지원,02-879-7141,서울특별시 관악구보건소,2025-11-13,,,서울특별시 관악구,2026-06-14 17:58:01.0,관악구
서초구치매안심센터,치매안심센터,"서울특별시 서초구 염곡말길 9, 4층(염곡동, 내곡느티나무쉼터)",서울특별시 서초구 염곡동 180-2,37.46182487,127.0506972,2008-12,801.12,사무실(1)+검진실(3)+교육상담실(1)+프로그램실(2)+쉼터기억키움학교(1)+교육실(1)+인지카페(1)+안심하우스(1)+준비실(1),1,8,6,작업치료사(7),가톨릭대학교서울성모병원,강동우,02-591-1833,2024-01-01,"무료치매검사, 고도화장비기반 치매검사, 인지건강프로그램, 치매환자 가족교육 및 지지프로그램, 안심하우스 및 기억키움학교 운영, 치매 홍보서포터즈 운영 등",02-2155-8081,서울특별시 서초구보건소,2025-08-05,,,서울특별시 서초구,2026-06-14 17:58:01.0,서초구
양천구치매안심센터,치매안심센터,"서울특별시 양천구 남부순환로 407, 4층(신월동, 신월보건지소)",서울특별시 양천구 신월동 131-4,37.53133859,126.831824,2008-05,630.6,사무실(1)+상담실(1)+검진실(2)+진료실(1)+훈련실(3)+기억키움학교(1) 등,1,12,4,작업치료사(5)+임상심리사(1)+운동치료사(1),이화의대부속 목동병원,유경하,02-2698-8680,2008-03-27,치매검사+치매 상담 및 등록관리+치매가족지원+치매인식개선+인지강화 및 치매예방교실 운영 등,02-2620-4348,서울특별시 양천구청,2025-09-04,,,서울특별시 양천구,2026-06-14 17:58:01.0,양천구
동대문구 치매안심센터,치매안심센터,서울특별시 동대문구 홍릉로 81,서울특별시 동대문구 청량리동 203-1,37.58751921,127.0427044,2008-04,567.58,프로그램실+상담실+진료실+기억키움학교,1,5,5,미술치료사(1)+음악치료사(1)+작업치료사(3)+행정(1),경희의료원,강원섭,02-957-3062,2024-01-01,치매조기검진+치매환자 등록관리+치매환자 인지재활프로그램+가족치유 프로그램+기억키움학교 운영,02-2171-6087,서울특별시 동대문구보건소,2026-02-20,,,서울특별시 동대문구,2026-06-14 17:58:01.0,동대문구
