연도,시도,시군구,성별,연령별,노인인구수,추정치매환자수,추정치매환자유병률,추정 경도 환자,추정 중등도 환자,추정 중증 환자,추정경도인지장애 진단자수,추정경도인지장애진단자 유병률,연령별_정리
2025,서울특별시,종로구,전체,65세 이상,29657.5,2817.46,9.50%,1907.42,831.15,78.89,8437.22,28.45%,65세이상
2025,서울특별시,중구,전체,65세 이상,26394,2474.49,9.38%,1675.23,729.98,69.29,7472.36,28.31%,65세이상
2025,서울특별시,용산구,전체,65세 이상,38650,3636.01,9.41%,2461.58,1072.62,101.81,10932.87,28.29%,65세이상
2025,서울특별시,성동구,전체,65세 이상,51689.5,4678.69,9.05%,3167.47,1380.21,131.0,14566.25,28.18%,65세이상
2025,서울특별시,광진구,전체,65세 이상,60373.5,5279.83,8.75%,3574.44,1557.55,147.84,16940.97,28.06%,65세이상
2025,서울특별시,동대문구,전체,65세 이상,70472,6375.88,9.05%,4316.47,1880.89,178.52,19902.47,28.24%,65세이상
2025,서울특별시,중랑구,전체,65세 이상,85291.5,7397.84,8.67%,5008.34,2182.36,207.14,23889.91,28.01%,65세이상
2025,서울특별시,성북구,전체,65세 이상,84781.5,7784.46,9.18%,5270.08,2296.42,217.96,23967.87,28.27%,65세이상
2025,서울특별시,강북구,전체,65세 이상,72400,6623.91,9.15%,4484.39,1954.05,185.47,20492.75,28.30%,65세이상
2025,서울특별시,도봉구,전체,65세 이상,75783,6800.51,8.97%,4603.94,2006.15,190.41,21341.22,28.16%,65세이상
2025,서울특별시,노원구,전체,65세 이상,102158.5,9202.76,9.01%,6230.27,2714.81,257.68,28616.36,28.01%,65세이상
2025,서울특별시,은평구,전체,65세 이상,99357.5,8970.68,9.03%,6073.15,2646.35,251.18,28022.7,28.20%,65세이상
2025,서울특별시,서대문구,전체,65세 이상,60330,5662.18,9.39%,3833.29,1670.34,158.54,17092.28,28.33%,65세이상
2025,서울특별시,마포구,전체,65세 이상,60054,5603.47,9.33%,3793.55,1653.02,156.9,16989.89,28.29%,65세이상
2025,서울특별시,양천구,전체,65세 이상,81771,6912.83,8.45%,4679.98,2039.28,193.56,22740.4,27.81%,65세이상
2025,서울특별시,강서구,전체,65세 이상,109485,9413.89,8.60%,6373.2,2777.1,263.59,30531.17,27.89%,65세이상
2025,서울특별시,구로구,전체,65세 이상,83564,7256.59,8.68%,4912.71,2140.69,203.18,23480.6,28.10%,65세이상
2025,서울특별시,금천구,전체,65세 이상,48073,4151.64,8.64%,2810.66,1224.73,116.25,13486.86,28.05%,65세이상
2025,서울특별시,영등포구,전체,65세 이상,69293.5,6247.3,9.02%,4229.42,1842.95,174.92,19574.7,28.25%,65세이상
2025,서울특별시,동작구,전체,65세 이상,73617,6649.48,9.03%,4501.7,1961.6,186.19,20812.0,28.27%,65세이상
2025,서울특별시,관악구,전체,65세 이상,89600,7978.53,8.90%,5401.46,2353.67,223.4,25352.72,28.30%,65세이상
2025,서울특별시,서초구,전체,65세 이상,69427,6075.87,8.75%,4113.37,1792.38,170.12,19588.61,28.21%,65세이상
2025,서울특별시,강남구,전체,65세 이상,91786.5,7927.44,8.64%,5366.88,2338.59,221.97,25821.14,28.13%,65세이상
2025,서울특별시,송파구,전체,65세 이상,115448,9604.73,8.32%,6502.4,2833.39,268.93,32130.68,27.83%,65세이상
2025,서울특별시,강동구,전체,65세 이상,93262,7686.37,8.24%,5203.67,2267.48,215.22,25901.24,27.77%,65세이상
